order_id,customer_id,purchase_date,num_items,total_amount
ORD-00598,CUST-0090,2026-04-13,7,297.49
ORD-00251,CUST-0115,2026-03-21,17,628.05
ORD-00673,CUST-0034,2026-02-27,19,1825.23
ORD-00295,CUST-0051,2026-02-20,5,81.61
ORD-00343,CUST-0135,2026-03-01,14,336.76
ORD-00042,CUST-0148,2026-03-05,5,441.49
ORD-00541,CUST-0144,2026-04-06,14,51.42
ORD-00249,CUST-0061,2026-05-10,5,2080.18
ORD-00542,CUST-0044,2026-04-12,19,345.12
ORD-00731,CUST-0049,2026-03-19,6,1162.86
ORD-00654,CUST-0147,2026-04-22,12,388.16
ORD-00238,CUST-0040,2026-02-13,18,372.97
ORD-00644,CUST-0167,2026-03-06,11,320.17
ORD-00462,CUST-0130,2026-03-02,4,1595.75
ORD-00439,CUST-0122,2026-04-23,14,440.64
ORD-00450,CUST-0104,2026-02-16,7,428.66
ORD-00240,CUST-0061,2026-05-09,12,227.46
ORD-00372,CUST-0023,2026-03-17,6,227.66
ORD-00187,CUST-0156,2026-03-18,16,2446.32
ORD-00011,CUST-0075,2026-02-12,3,956.57
ORD-00663,CUST-0160,2026-04-18,10,158.61
ORD-00158,CUST-0030,2026-04-20,2,431.38
ORD-00206,CUST-0162,2026-03-12,18,637.77
ORD-00629,CUST-0110,2026-04-26,4,197.79
ORD-00770,CUST-0126,2026-02-21,4,128.31
ORD-00323,CUST-0114,2026-05-08,14,361.88
ORD-00565,CUST-0177,2026-03-27,13,342.3
ORD-00539,CUST-0024,2026-03-22,4,1208.47
ORD-00254,CUST-0016,2026-03-08,10,481.41
ORD-00140,CUST-0083,2026-03-15,14,299.72
ORD-00563,CUST-0192,2026-04-30,1,944.78
ORD-00690,CUST-0128,2026-04-22,19,364.25
ORD-00057,CUST-0153,2026-05-06,17,872.46
ORD-00620,CUST-0001,2026-04-14,14,354.11
ORD-00687,CUST-0020,2026-02-20,3,136.56
ORD-00412,CUST-0039,2026-04-26,11,263.95
ORD-00008,CUST-0118,2026-03-30,20,31.25
ORD-00102,CUST-0117,2026-04-12,16,385.79
ORD-00492,CUST-0024,2026-04-01,3,424.25
ORD-00755,CUST-0138,2026-04-30,19,394.23
ORD-00073,CUST-0181,2026-04-27,9,226.06
ORD-00317,CUST-0055,2026-03-28,1,98.15
ORD-00156,CUST-0027,2026-04-06,5,378.12
ORD-00078,CUST-0061,2026-03-03,14,376.49
ORD-00636,CUST-0093,2026-05-04,17,15.9
ORD-00392,CUST-0063,2026-03-05,10,157.72
ORD-00527,CUST-0146,2026-03-24,3,285.78
ORD-00406,CUST-0144,2026-03-23,12,603.26
ORD-00203,CUST-0068,2026-03-22,5,2063.27
ORD-00225,CUST-0107,2026-04-27,3,169.77
ORD-00578,CUST-0068,2026-04-20,12,233.74
ORD-00150,CUST-0079,2026-03-04,11,231.88
ORD-00307,CUST-0182,2026-05-03,17,29.14
ORD-00159,CUST-0176,2026-05-05,13,292.16
ORD-00688,CUST-0033,2026-05-11,3,325.89
ORD-00265,CUST-0085,2026-03-03,2,284.62
ORD-00554,CUST-0182,2026-03-04,1,235.73
ORD-00242,CUST-0032,2026-03-29,2,102.82
ORD-00031,CUST-0029,2026-03-07,1,248.93
ORD-00794,CUST-0119,2026-03-21,11,296.34
ORD-00273,CUST-0037,2026-04-04,11,98.71
ORD-00387,CUST-0149,2026-05-02,17,299.39
ORD-00553,CUST-0175,2026-03-02,7,276.81
ORD-00496,CUST-0190,2026-04-05,1,102.92
ORD-00701,CUST-0137,2026-04-23,4,127.92
ORD-00236,CUST-0061,2026-05-09,10,66.78
ORD-00336,CUST-0158,2026-03-14,5,239.39
ORD-00328,CUST-0065,2026-04-23,7,77.68
ORD-00593,CUST-0199,2026-03-04,17,729.3
ORD-00503,CUST-0107,2026-04-10,18,293.2
ORD-00605,CUST-0195,2026-04-12,5,415.13
ORD-00371,CUST-0019,2026-04-07,16,76.37
ORD-00209,CUST-0096,2026-05-08,11,153.46
ORD-00483,CUST-0083,2026-03-01,11,387.77
ORD-00590,CUST-0195,2026-03-18,16,286.48
ORD-00438,CUST-0141,2026-03-14,4,77.22
ORD-00046,CUST-0028,2026-05-06,13,401.49
ORD-00657,CUST-0190,2026-04-21,2,456.92
ORD-00219,CUST-0191,2026-04-08,1,345.36
ORD-00727,CUST-0019,2026-04-06,1,475.36
ORD-00785,CUST-0036,2026-05-06,20,166.28
ORD-00085,CUST-0138,2026-03-30,17,489.78
ORD-00478,CUST-0197,2026-04-29,2,215.01
ORD-00118,CUST-0155,2026-03-21,18,277.06
ORD-00349,CUST-0179,2026-02-20,6,344.81
ORD-00040,CUST-0085,2026-05-06,8,563.79
ORD-00361,CUST-0015,2026-02-24,14,489.23
ORD-00405,CUST-0196,2026-03-19,5,365.75
ORD-00543,CUST-0017,2026-04-26,9,251.14
ORD-00653,CUST-0146,2026-03-11,15,37.11
ORD-00721,CUST-0064,2026-05-02,11,139.69
ORD-00315,CUST-0033,2026-04-04,18,397.12
ORD-00764,CUST-0096,2026-04-16,14,381.39
ORD-00190,CUST-0131,2026-04-28,5,360.42
ORD-00180,CUST-0085,2026-04-01,11,429.43
ORD-00287,CUST-0081,2026-03-19,1,48.07
ORD-00664,CUST-0198,2026-04-12,15,485.24
ORD-00425,CUST-0118,2026-03-13,17,477.82
ORD-00334,CUST-0183,2026-04-15,1,58.45
ORD-00617,CUST-0071,2026-02-19,10,466.1
ORD-00515,CUST-0046,2026-05-11,17,339.6
ORD-00498,CUST-0199,2026-04-17,13,279.97
ORD-00465,CUST-0034,2026-05-02,17,37.21
ORD-00622,CUST-0031,2026-02-15,15,1891.5
ORD-00358,CUST-0084,2026-04-20,18,60.17
ORD-00162,CUST-0116,2026-02-26,20,265.54
ORD-00751,CUST-0084,2026-05-05,3,204.31
ORD-00592,CUST-0127,2026-04-22,15,387.78
ORD-00363,CUST-0113,2026-04-23,1,1715.54
ORD-00689,CUST-0013,2026-05-02,11,2384.62
ORD-00002,CUST-0023,2026-04-26,4,446.28
ORD-00374,CUST-0183,2026-03-05,10,426.32
ORD-00739,CUST-0098,2026-05-02,18,191.43
ORD-00686,CUST-0162,2026-04-27,7,192.03
ORD-00043,CUST-0049,2026-03-14,8,404.87
ORD-00348,CUST-0087,2026-02-28,11,1205.25
ORD-00243,CUST-0153,2026-03-16,3,323.79
ORD-00022,CUST-0131,2026-03-23,12,497.8
ORD-00461,CUST-0020,2026-05-03,17,354.14
ORD-00443,CUST-0010,2026-04-21,14,95.96
ORD-00707,CUST-0123,2026-05-06,8,19.74
ORD-00167,CUST-0074,2026-02-14,20,25.96
ORD-00326,CUST-0113,2026-04-19,12,288.94
ORD-00076,CUST-0011,2026-04-25,14,1117.21
ORD-00571,CUST-0174,2026-04-29,1,326.86
ORD-00250,CUST-0033,2026-02-27,11,1031.47
ORD-00269,CUST-0030,2026-04-15,4,282.01
ORD-00192,CUST-0154,2026-04-12,15,197.57
ORD-00567,CUST-0187,2026-04-06,14,51.98
ORD-00145,CUST-0062,2026-03-03,1,103.43
ORD-00132,CUST-0102,2026-04-04,19,478.55
ORD-00198,CUST-0199,2026-02-13,8,124.21
ORD-00643,CUST-0040,2026-04-04,3,109.36
ORD-00753,CUST-0107,2026-02-23,19,215.18
ORD-00447,CUST-0029,2026-04-26,17,104.28
ORD-00305,CUST-0016,2026-04-02,20,83.77
ORD-00125,CUST-0065,2026-03-26,9,416.81
ORD-00124,CUST-0087,2026-04-10,13,232.35
ORD-00529,CUST-0014,2026-02-14,3,486.44
ORD-00178,CUST-0150,2026-03-08,15,98.75
ORD-00059,CUST-0108,2026-04-12,19,312.88
ORD-00765,CUST-0182,2026-05-06,17,42.09
ORD-00244,CUST-0033,2026-05-11,2,129.11
ORD-00469,CUST-0018,2026-05-05,18,467.01
ORD-00454,CUST-0168,2026-04-05,19,15.59
ORD-00402,CUST-0062,2026-05-11,3,257.16
ORD-00185,CUST-0195,2026-03-28,20,315.82
ORD-00286,CUST-0011,2026-02-17,12,2223.67
ORD-00602,CUST-0132,2026-04-06,10,475.72
ORD-00110,CUST-0164,2026-03-14,15,130.9
ORD-00655,CUST-0012,2026-02-16,4,258.82
ORD-00715,CUST-0045,2026-02-24,12,298.0
ORD-00792,CUST-0168,2026-03-03,6,449.9
ORD-00709,CUST-0083,2026-03-31,6,422.85
ORD-00674,CUST-0101,2026-04-13,10,164.04
ORD-00615,CUST-0117,2026-05-11,4,87.25
ORD-00487,CUST-0107,2026-02-20,13,165.86
ORD-00082,CUST-0090,2026-03-14,8,459.12
ORD-00446,CUST-0127,2026-04-07,15,275.67
ORD-00035,CUST-0055,2026-04-22,9,306.62
ORD-00267,CUST-0091,2026-03-20,2,303.6
ORD-00095,CUST-0141,2026-03-26,6,157.16
ORD-00113,CUST-0040,2026-05-03,5,197.3
ORD-00672,CUST-0020,2026-05-01,17,2140.11
ORD-00790,CUST-0047,2026-04-05,6,438.61
ORD-00038,CUST-0142,2026-04-12,8,543.05
ORD-00362,CUST-0174,2026-05-04,13,401.74
ORD-00282,CUST-0053,2026-04-15,13,36.79
ORD-00294,CUST-0187,2026-03-09,7,180.84
ORD-00252,CUST-0057,2026-03-28,17,231.03
ORD-00155,CUST-0142,2026-03-06,5,486.43
ORD-00027,CUST-0117,2026-04-09,11,1370.1
ORD-00661,CUST-0199,2026-03-23,3,433.49
ORD-00079,CUST-0189,2026-04-23,6,22.12
ORD-00526,CUST-0183,2026-05-11,7,377.85
ORD-00080,CUST-0064,2026-04-01,14,432.53
ORD-00239,CUST-0072,2026-03-21,4,311.05
ORD-00566,CUST-0027,2026-03-10,5,22.01
ORD-00470,CUST-0035,2026-03-14,2,98.01
ORD-00564,CUST-0115,2026-03-08,18,291.29
ORD-00798,CUST-0118,2026-04-26,7,492.74
ORD-00525,CUST-0081,2026-04-08,18,26.09
ORD-00750,CUST-0187,2026-02-22,5,136.11
ORD-00713,CUST-0164,2026-04-26,6,223.63
ORD-00560,CUST-0028,2026-02-13,18,457.14
ORD-00143,CUST-0067,2026-03-11,11,113.73
ORD-00220,CUST-0074,2026-05-07,20,417.26
ORD-00708,CUST-0034,2026-05-13,11,108.52
ORD-00194,CUST-0186,2026-03-31,17,11.25
ORD-00595,CUST-0189,2026-03-18,18,217.9
ORD-00264,CUST-0034,2026-03-19,4,192.22
ORD-00456,CUST-0181,2026-04-23,13,461.4
ORD-00623,CUST-0023,2026-03-20,5,121.96
ORD-00720,CUST-0163,2026-05-04,8,166.24
ORD-00550,CUST-0082,2026-04-18,16,481.68
ORD-00584,CUST-0099,2026-03-09,13,77.42
ORD-00436,CUST-0058,2026-04-13,8,2310.46
ORD-00522,CUST-0025,2026-03-11,14,171.99
ORD-00737,CUST-0030,2026-02-21,10,241.58
ORD-00650,CUST-0069,2026-04-10,6,376.64
ORD-00280,CUST-0174,2026-03-09,4,64.23
ORD-00474,CUST-0001,2026-03-07,5,118.9
ORD-00189,CUST-0119,2026-05-02,8,456.42
ORD-00442,CUST-0010,2026-04-14,18,425.81
ORD-00484,CUST-0134,2026-04-13,10,492.01
ORD-00594,CUST-0195,2026-03-05,12,380.07
ORD-00227,CUST-0066,2026-03-07,17,416.1
ORD-00318,CUST-0040,2026-03-31,16,498.99
ORD-00648,CUST-0003,2026-04-21,4,775.29
ORD-00507,CUST-0036,2026-03-16,6,182.21
ORD-00428,CUST-0077,2026-04-08,18,470.39
ORD-00769,CUST-0102,2026-04-18,9,237.0
ORD-00283,CUST-0075,2026-04-05,7,383.67
ORD-00577,CUST-0138,2026-02-12,3,400.96
ORD-00398,CUST-0099,2026-04-12,5,1081.13
ORD-00451,CUST-0025,2026-03-20,17,206.01
ORD-00380,CUST-0116,2026-05-04,5,324.1
ORD-00746,CUST-0147,2026-05-09,17,262.72
ORD-00341,CUST-0062,2026-02-26,18,1531.24
ORD-00148,CUST-0149,2026-04-15,13,159.73
ORD-00717,CUST-0146,2026-05-13,19,496.2
ORD-00545,CUST-0127,2026-03-28,9,362.52
ORD-00200,CUST-0129,2026-03-25,5,28.1
ORD-00357,CUST-0155,2026-04-09,3,48.6
ORD-00332,CUST-0102,2026-03-17,12,212.88
ORD-00115,CUST-0100,2026-03-15,14,2165.95
ORD-00479,CUST-0009,2026-05-11,8,59.34
ORD-00600,CUST-0137,2026-04-17,7,288.77
ORD-00316,CUST-0131,2026-02-17,17,1841.24
ORD-00053,CUST-0143,2026-04-07,14,367.22
ORD-00435,CUST-0151,2026-02-13,9,1731.74
ORD-00184,CUST-0133,2026-02-18,18,36.51
ORD-00017,CUST-0103,2026-05-06,8,403.67
ORD-00404,CUST-0028,2026-02-26,16,14.0
ORD-00105,CUST-0179,2026-04-30,14,403.21
ORD-00152,CUST-0071,2026-03-06,6,371.18
ORD-00354,CUST-0032,2026-03-29,2,172.31
ORD-00032,CUST-0146,2026-03-28,10,127.79
ORD-00379,CUST-0148,2026-03-13,17,210.21
ORD-00129,CUST-0056,2026-04-13,5,65.94
ORD-00519,CUST-0021,2026-02-13,8,414.92
ORD-00386,CUST-0137,2026-03-04,9,1106.35
ORD-00083,CUST-0103,2026-04-04,8,332.76
ORD-00137,CUST-0118,2026-03-12,4,187.11
ORD-00417,CUST-0186,2026-04-01,4,295.43
ORD-00029,CUST-0051,2026-04-30,10,258.25
ORD-00344,CUST-0130,2026-03-28,3,276.06
ORD-00028,CUST-0130,2026-05-13,9,382.6
ORD-00075,CUST-0142,2026-04-24,18,1239.06
ORD-00768,CUST-0181,2026-04-12,2,458.92
ORD-00587,CUST-0003,2026-04-03,15,433.24
ORD-00512,CUST-0124,2026-05-06,20,466.68
ORD-00589,CUST-0182,2026-03-10,16,250.45
ORD-00007,CUST-0092,2026-04-16,11,1260.47
ORD-00728,CUST-0020,2026-03-31,6,88.68
ORD-00147,CUST-0076,2026-02-20,16,18.43
ORD-00274,CUST-0008,2026-03-02,13,1982.2
ORD-00754,CUST-0026,2026-04-24,5,294.93
ORD-00742,CUST-0139,2026-02-13,4,1188.24
ORD-00214,CUST-0089,2026-04-07,18,226.01
ORD-00460,CUST-0153,2026-03-06,7,342.69
ORD-00342,CUST-0062,2026-04-25,10,310.64
ORD-00293,CUST-0136,2026-04-01,6,1766.82
ORD-00725,CUST-0195,2026-05-01,16,292.67
ORD-00246,CUST-0199,2026-02-27,7,123.94
ORD-00288,CUST-0107,2026-03-01,14,356.94
ORD-00181,CUST-0195,2026-03-22,16,472.2
ORD-00703,CUST-0189,2026-03-29,6,299.74
ORD-00800,CUST-0163,2026-03-12,11,96.47
ORD-00408,CUST-0175,2026-03-17,18,493.67
ORD-00166,CUST-0116,2026-04-21,18,506.35
ORD-00327,CUST-0108,2026-03-15,10,255.92
ORD-00356,CUST-0133,2026-03-31,6,253.29
ORD-00278,CUST-0170,2026-02-23,2,143.06
ORD-00258,CUST-0117,2026-04-02,13,269.44
ORD-00718,CUST-0157,2026-05-09,6,460.39
ORD-00333,CUST-0096,2026-03-10,12,496.32
ORD-00569,CUST-0185,2026-03-08,16,57.74
ORD-00068,CUST-0191,2026-04-30,5,445.07
ORD-00482,CUST-0188,2026-05-06,5,151.45
ORD-00177,CUST-0121,2026-04-09,19,2012.78
ORD-00352,CUST-0140,2026-05-08,11,262.02
ORD-00149,CUST-0191,2026-03-27,16,178.1
ORD-00366,CUST-0196,2026-02-16,15,191.91
ORD-00758,CUST-0102,2026-02-23,20,206.44
ORD-00683,CUST-0141,2026-05-10,13,281.86
ORD-00640,CUST-0074,2026-05-08,2,204.61
ORD-00112,CUST-0139,2026-05-04,10,174.23
ORD-00546,CUST-0078,2026-02-26,20,62.31
ORD-00528,CUST-0036,2026-03-25,18,379.49
ORD-00378,CUST-0102,2026-04-27,20,42.15
ORD-00365,CUST-0040,2026-03-28,13,25.84
ORD-00570,CUST-0182,2026-02-13,15,156.83
ORD-00797,CUST-0039,2026-02-15,13,212.01
ORD-00360,CUST-0091,2026-04-22,15,30.71
ORD-00154,CUST-0182,2026-04-06,8,157.81
ORD-00647,CUST-0169,2026-02-24,20,1832.49
ORD-00384,CUST-0089,2026-04-22,6,356.86
ORD-00359,CUST-0110,2026-02-18,10,304.68
ORD-00694,CUST-0099,2026-03-22,18,52.9
ORD-00534,CUST-0064,2026-02-28,13,1737.61
ORD-00071,CUST-0024,2026-03-12,9,423.74
ORD-00472,CUST-0139,2026-03-26,13,2428.32
ORD-00555,CUST-0018,2026-04-17,15,416.5
ORD-00761,CUST-0059,2026-04-08,16,344.89
ORD-00151,CUST-0031,2026-04-11,8,885.98
ORD-00176,CUST-0173,2026-03-01,19,498.79
ORD-00675,CUST-0020,2026-02-13,11,142.99
ORD-00685,CUST-0057,2026-04-28,1,2062.14
ORD-00128,CUST-0040,2026-05-10,8,19.97
ORD-00391,CUST-0161,2026-03-21,20,253.54
ORD-00775,CUST-0200,2026-04-17,9,260.99
ORD-00581,CUST-0077,2026-03-16,20,339.38
ORD-00796,CUST-0031,2026-02-23,3,105.13
ORD-00197,CUST-0049,2026-03-05,13,167.35
ORD-00473,CUST-0101,2026-04-26,12,2485.7
ORD-00666,CUST-0178,2026-03-22,1,179.4
ORD-00311,CUST-0065,2026-04-01,4,199.03
ORD-00308,CUST-0094,2026-03-18,15,308.19
ORD-00627,CUST-0106,2026-03-30,7,84.02
ORD-00199,CUST-0098,2026-03-22,2,241.29
ORD-00054,CUST-0015,2026-02-18,16,155.09
ORD-00066,CUST-0168,2026-02-12,10,492.76
ORD-00418,CUST-0168,2026-02-14,1,139.84
ORD-00375,CUST-0032,2026-02-12,6,258.78
ORD-00089,CUST-0001,2026-03-01,7,356.6
ORD-00297,CUST-0149,2026-04-21,16,285.67
ORD-00576,CUST-0193,2026-03-25,1,110.63
ORD-00549,CUST-0178,2026-02-26,5,304.97
ORD-00400,CUST-0041,2026-04-02,19,102.83
ORD-00261,CUST-0107,2026-04-14,14,231.76
ORD-00248,CUST-0170,2026-04-27,18,95.33
ORD-00300,CUST-0091,2026-02-22,10,299.2
ORD-00430,CUST-0071,2026-03-30,18,398.95
ORD-00222,CUST-0169,2026-02-23,9,362.53
ORD-00284,CUST-0045,2026-04-02,4,1994.28
ORD-00025,CUST-0065,2026-03-25,13,238.88
ORD-00377,CUST-0142,2026-03-04,19,402.99
ORD-00272,CUST-0196,2026-02-18,9,1047.27
ORD-00558,CUST-0130,2026-03-17,20,205.99
ORD-00256,CUST-0038,2026-03-18,3,167.51
ORD-00069,CUST-0184,2026-03-04,5,305.76
ORD-00700,CUST-0060,2026-05-06,16,384.99
ORD-00568,CUST-0053,2026-04-25,12,232.66
ORD-00338,CUST-0074,2026-03-04,20,64.37
ORD-00596,CUST-0116,2026-02-19,8,498.66
ORD-00231,CUST-0117,2026-05-02,13,1573.61
ORD-00457,CUST-0095,2026-04-04,4,469.97
ORD-00396,CUST-0144,2026-03-30,13,1241.71
ORD-00064,CUST-0090,2026-05-04,18,139.68
ORD-00302,CUST-0024,2026-03-27,10,2228.64
ORD-00345,CUST-0163,2026-03-04,1,239.9
ORD-00684,CUST-0036,2026-04-12,4,403.11
ORD-00325,CUST-0121,2026-03-06,8,405.42
ORD-00475,CUST-0109,2026-05-11,10,361.64
ORD-00024,CUST-0017,2026-02-22,6,216.44
ORD-00662,CUST-0095,2026-04-04,11,1414.04
ORD-00556,CUST-0065,2026-03-22,16,1106.36
ORD-00530,CUST-0155,2026-05-01,14,47.17
ORD-00724,CUST-0097,2026-03-22,16,181.75
ORD-00626,CUST-0113,2026-03-07,19,1800.39
ORD-00580,CUST-0091,2026-03-25,20,65.86
ORD-00401,CUST-0128,2026-03-11,17,439.87
ORD-00540,CUST-0004,2026-02-26,20,432.36
ORD-00235,CUST-0012,2026-02-13,10,67.05
ORD-00710,CUST-0037,2026-05-06,1,1909.69
ORD-00202,CUST-0037,2026-05-01,17,17.5
ORD-00634,CUST-0062,2026-04-06,2,398.16
ORD-00477,CUST-0196,2026-04-24,9,437.98
ORD-00062,CUST-0019,2026-02-20,10,464.29
ORD-00097,CUST-0055,2026-02-25,11,226.22
ORD-00101,CUST-0012,2026-04-04,8,82.06
ORD-00313,CUST-0168,2026-02-18,5,161.7
ORD-00131,CUST-0007,2026-04-29,6,62.86
ORD-00055,CUST-0013,2026-02-28,18,1127.9
ORD-00210,CUST-0175,2026-03-19,5,211.49
ORD-00370,CUST-0157,2026-04-10,9,114.92
ORD-00381,CUST-0200,2026-03-15,17,439.32
ORD-00599,CUST-0036,2026-02-12,20,91.17
ORD-00421,CUST-0029,2026-04-25,8,2396.46
ORD-00072,CUST-0086,2026-02-21,14,31.56
ORD-00505,CUST-0087,2026-04-12,16,471.35
ORD-00734,CUST-0093,2026-03-01,18,85.11
ORD-00631,CUST-0200,2026-03-04,20,307.11
